Tweets,Positive,Negative,Positive %,Negative %,Netral %
text,[],[],0.0,0.0,1
umby update hes much more alert today hes begun his 4 new daily meds hes a bit less yellow and ate his whole dinner portion yesterday,[],[],0.0,0.0,26
very wholesome thank you umby,"['wholesome', 'thank']",[],40.0,0.0,3
rt calabria lombardia piemonte e valle d’aosta venerd alle 6 di mattina httpstcotjwcgtt2rf,[],[],0.0,0.0,13
umby off to horny jail for you,[],[],0.0,0.0,7
rt bernie sanders a week or so ago on jimmy fallon predicting the very thing that is happening right now pretty much down to the…,"['right', 'pretty']",[],8.0,0.0,23
no problem,[],['problem'],0.0,50.0,1
yep applied health is super broad lol,['super'],[],14.285714285714285,0.0,6
pumby thank you so much 💕,['thank'],[],16.666666666666664,0.0,5
pumby policy making thats a good one,['good'],[],14.285714285714285,0.0,6
figured id get you the full definition essentially its general health studies,[],[],0.0,0.0,12
applied health science focuses on prevention it involves promoting wellness in families organizations httpstcoo0r3qk4u78,[],[],0.0,0.0,14
pumby got you i understand now,[],[],0.0,0.0,6
that or wasnt supposed be there lol but most doctor have different specialty areas also,[],[],0.0,0.0,15
pumby what is applied healthanatomical,[],[],0.0,0.0,5
doctors are for applied health anything anotimical health or specialty nutritionist or dietician study n httpstcoksxnigktch,[],[],0.0,0.0,16
pumby so what does a doctor do,[],[],0.0,0.0,7
hahaha nah bro when i worked in the hospital in sa they had a whole ass section purely for nutrionist th httpstcovpibecmjwm,['worked'],[],4.545454545454546,0.0,21
pumby i always thought that they did 😂,[],[],0.0,0.0,8
gguy uh httpstco7eqbfnemoa,[],[],0.0,0.0,3
dont have to thats why they have nutritionist lol,[],[],0.0,0.0,9
pumby there’s more to it then me moving just cause,[],[],0.0,0.0,10
jeydon just gotta move here fuck iowa,[],['fuck'],0.0,14.285714285714285,6
km di kiyau umby kah,[],[],0.0,0.0,5
lrt im sorry normie followers but aaa that umby tumby,[],['sorry'],0.0,10.0,9
imagine not being in umbys friendlist cbm,[],[],0.0,0.0,7
feel free dms are always open,['free'],[],16.666666666666664,0.0,5
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcooopeszge80,['protective'],[],8.333333333333332,0.0,11
i love this account thank you for all you do,"['love', 'thank']",[],20.0,0.0,8
rt unison square garden sugar song to bitter step httpstcoghmagt6f1n,[],['bitter'],0.0,10.0,9
green and orange,[],[],0.0,0.0,3
i dont think crobat in vgc is going to be the ultimate game changer but i feel like its utility getting slept on,['like'],[],4.3478260869565215,0.0,22
rt i know we said wed be back on the 7th but were gonna take one more week off and we will be back in full swing on the 14th…,[],[],0.0,0.0,30
